Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Songwriter,Lead vocal,Cover,Covered by,Top 50 Billboard
Lovely Rita,1967,Sgt. Pepper's Lonely Hearts Club Band,162,6,,,,"Psychedelic Folk, Music Hall, Pop/Rock",McCartney,McCartney,,7,
Lucille,1963,Live at the BBC,141,,,,,"Rock and Roll, Pop/Rock","Penniman, Collins",McCartney,Y,,
Lucy in the Sky with Diamonds,1967,Sgt. Pepper's Lonely Hearts Club Band,208,5,,,,"Psychedelic Rock, Pop/Rock",Lennon with McCartney,Lennon,,17,
Madman,1969,,197,,,,,"Rock, Pop/Rock",Lennon,Lennon,,,
Maggie Mae,1969,Let It Be,40,7,,,,"Skiffle, Pop/Rock","Traditional, arr. Lennon, McCartney, Harrison, Starkey",Lennon,Y,,
Magical Mystery Tour,1967,Magical Mystery Tour,171,20,,,,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon",McCartney,,5,
"Mailman, Bring Me No More Blues",1969,Anthology 3,116,,,,,Pop/Rock,"Row, Katz, Roberts, Clayton",Lennon,,,
Martha My Dear,1968,The Beatles,148,6,,,,"Music Hall, Pop/Rock",McCartney,McCartney,,6,
Matchbox,1964,UK: Rock 'n' Roll Music US: Something New,117,24,Matchbox,Slow Down,,"Rock and roll, Rockabilly, Pop/Rock","Perkins, Jefferson",Starkey (Best),Y,,40
Maxwell's Silver Hammer,1969,Abbey Road,207,8,,,,"Rock, Music Hall, Pop/Rock",McCartney,McCartney,,2,
Mean Mr. Mustard,1969,Abbey Road,66,6,,,,Pop/Rock,Lennon,Lennon,,2,
"Memphis, Tennessee",1963,Live at the BBC,136,,,,,"R&B, Rock and Roll, Pop/Rock",Berry,Lennon,Y,,
Michelle,1965,Rubber Soul,160,19,Michelle,Girl,,Pop/Rock,"McCartney, with Lennon",McCartney,,32,
Misery,1963,UK: Please Please Me US: Rarities,107,23,Misery; Roll Over Beethoven,Ask Me Why; Misery,,Pop/Rock,"Lennon, with McCartney","Lennon, with McCartney",,3,
Money (That's What I Want),1963,UK: With the Beatles US: The Beatles Second Album,167,24,,,,Pop/Rock,"Gordy, Bradford",Lennon,Y,,
Moonlight Bay,1963,Anthology 1,,,,,,Pop/Rock,"Percy Wenrich, Edward Madden","Lennon, McCartney, Harrison, Eric Morecambe, Ernie Wise",,,
Mother Nature's Son,1968,The Beatles,168,10,,,,"Folk, Pop/Rock",McCartney,McCartney,,11,
Mr. Moonlight,1964,UK: Beatles for Sale US: Beatles '65,155,17,,,,"Folk Rock, Pop/Rock",Johnson,Lennon,Y,,
My Bonnie,1961,Anthology 1,,13,My Bonnie,The Saints,,"Rock and Roll, Pop/Rock","Traditional, arr. Sheridan",Sheridan,,,45
No Reply,1964,UK: Beatles for Sale US: Beatles '65,135,15,No Reply,Rock and Roll Music,,"Folk Rock, Pop/Rock","Lennon, with McCartney","Lennon, with McCartney",,3,
Norwegian Wood (This Bird Has Flown),1965,Rubber Soul,125,18,,,,"Folk Rock, Raga Rock, Pop/Rock","Lennon, with McCartney",Lennon,,30,
Not a Second Time,1963,UK: With the Beatles US: Meet The Beatles!,128,9,,,,"Rock, Pop/Rock",Lennon,Lennon,,2,
Not Guilty,1968,Anthology 3,215,,,,,"Jazz-Pop, Pop/Rock",Harrison,Harrison,,,
Nothin' Shakin' (But the Leaves on the Trees),1963,Live at the BBC,176,,,,,Pop/Rock,Fontaine,Harrison,Y,,
Nowhere Man,1965,UK: Rubber Soul US: Yesterday and Today,164,23,Nowhere Man,What Goes On,RIAA Gold,"Folk Rock, Pop/Rock",Lennon,Lennon,,21,27
"Ob-La-Di, Ob-La-Da",1968,The Beatles,187,16,"Ob-La-Di, Ob-La-Da; Ob-La-Di, Ob-La-Da",While My Guitar Gently Weeps; Julia,,"Ska, Pop/Rock",McCartney,McCartney,,16,
Octopus's Garden,1969,Abbey Road,168,10,,,,"Rock, Pop/Rock","Starkey, with uncredited assistance from Harrison",Starkey,,3,
Oh! Darling,1969,Abbey Road,206,9,,,,"Swamp Pop, Hard Rock, Pop/Rock",McCartney,McCartney,,14,
Old Brown Shoe,1969,UK: 1967-1970 US: Hey Jude,196,13,The Ballad of John and Yoko,Old Brown Shoe,RIAA Gold,"Blues Rock, Pop/Rock",Harrison,Harrison,,2,
One After 909,1969,Let It Be,172,17,,,,"Roots Rock, Pop/Rock",Lennon,"Lennon, with McCartney",,5,
One and One Is Two,1964,,,,,,,,McCartney,McCartney,,,
Only a Northern Song,1967,Yellow Submarine,207,9,,,,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,,,
Ooh! My Soul,1963,Live at the BBC,97,,,,,Pop/Rock,Penniman,McCartney,Y,,
P.S. I Love You,1962,UK: Please Please Me US: The Early Beatles,126,30,Love Me Do,P.S. I Love You,RIAA Platinum,"Merseybeat, Pop/Rock","McCartney, with Lennon",McCartney,,4,34
