Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Songwriter,Lead vocal,Cover,Covered by,Top 50 Billboard
12-Bar Original,1965,Anthology 2,174,,,,,Blues,"Lennon, McCartney, Harrison and Starkey",,,,
A Day in the Life,1967,Sgt. Pepper's Lonely Hearts Club Band,335,12,Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends,A Day in the Life,,"Psychedelic Rock, Art Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,27,
A Hard Day's Night,1964,UK: A Hard Day's Night US: 1962-1966,152,35,A Hard Day's Night; A Hard Day's Night,Things We Said Today; I Should Have Known Better,RIAA Gold,"Rock, Electronic, Pop/Rock",Lennon,"Lennon, with McCartney",,35,8
A Shot of Rhythm and Blues,1963,Live at the BBC,104,,,,,"R&B, Pop/Rock",Thompson,Lennon,Y,,
A Taste of Honey,1963,UK: Please Please Me US: The Early Beatles,163,29,,,,"Pop/Rock, Jazz, Stage&Screen","Scott, Marlow",McCartney,Y,,
Across the Universe,1968,Let It Be,230,19,,,,"Psychedelic folk, Pop/Rock",Lennon,Lennon,,32,
Act Naturally,1965,UK: Help! US: Yesterday and Today,139,14,Yesterday,Act Naturally,RIAA Gold,"Country, Pop/Rock","Russell, Morrison",Starkey,Y,,50
Ain't She Sweet,1961,Anthology 1,,9,,,,Pop/Rock,"Yellen, Ager",Lennon,Y,,41
All I've Got to Do,1963,UK: With the Beatles US: Meet The Beatles!,124,9,,,,Pop/Rock,Lennon,Lennon,,2,
All My Loving,1963,UK: With the Beatles US: Meet The Beatles!,124,32,All My Loving,This Boy,,Pop/Rock,McCartney,McCartney,,20,
All Things Must Pass,1969,Anthology 3,227,,,,,"Folk Rock, Pop/Rock",Harrison,Harrison,,,
All Together Now,1967,Yellow Submarine,130,8,All Together Now,Hey Bulldog,,"Skiffle, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,3,
All You Need Is Love,1967,Magical Mystery Tour,237,25,All You Need Is Love,"Baby, You're a Rich Man",RIAA Gold,Pop/Rock,Lennon,Lennon,,20,15
And I Love Her,1964,UK: A Hard Day's Night US: Something New,152,29,And I Love Her,If I Fell,,Pop/Rock,"McCartney, with Lennon",McCartney,,32,37
And Your Bird Can Sing,1966,UK: Revolver US: Yesterday and Today,121,9,,,,"Power Pop, Psychedelic Pop, Pop/Rock","Lennon, with McCartney",Lennon,,6,
Anna (Go to Him),1963,UK: Please Please Me US: The Early Beatles,168,16,,,,"Soul, Pop/Rock",Alexander,Lennon,Y,,
Another Girl,1965,Help!,124,9,,,,"Country Rock, Pop/Rock",McCartney,McCartney,,,
Any Time at All,1964,UK: A Hard Day's Night US: Something New,133,15,,,,Pop/Rock,"Lennon, with McCartney","Lennon, with McCartney",,4,
Ask Me Why,1962,UK: Please Please Me US: The Early Beatles,144,24,Please Please Me,Ask Me Why,,Pop/Rock,"Lennon, with McCartney",Lennon,,1,
Baby It's You,1963,UK: Please Please Me US: The Early Beatles,162,17,,,,Pop/Rock,"Bacharach, David, Dixon",Lennon,Y,,
Baby's in Black,1964,UK: Beatles for Sale US: Beatles '65,122,20,Real Love,Baby's in Black,RIAA Gold,"Folk Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,2,
"Baby, You're a Rich Man",1967,Magical Mystery Tour,183,10,All You Need Is Love,"Baby, You're a Rich Man",RIAA Gold,"Psychedelic Pop, Psychedelic Rock, Pop/Rock",Lennon and McCartney,Lennon,,3,48
Back in the U.S.S.R.,1968,The Beatles,163,13,Back in the U.S.S.R.,Twist and Shout,,"Rock and Roll, Hard Rock, Pop/Rock",McCartney,McCartney,,13,
Bad Boy,1965,UK: A Collection of Beatles Oldies US: Beatles VI,,,,,,R&B,Williams,Lennon,Y,,
Bad to Me,1963,The Beatles Bootleg Recordings 1963,142,,,,,"Beat, Pop/Rock",Lennon,Lennon,,,
Beautiful Dreamer,1963,On Air - Live at the BBC Volume 2,106,,,,,Pop/Rock,Foster,McCartney,Y,,
Because I Know You Love Me So,1969,Let It Be... Naked - Fly on the Wall bonus disc,,,,,,,"Lennon, McCartney","Lennon, McCartney",,,
Because,1969,Abbey Road,165,11,,,,Pop/Rock,Lennon,"Lennon, McCartney, Harrison",,14,
Being for the Benefit of Mr. Kite!,1967,Sgt. Pepper's Lonely Hearts Club Band,157,7,,,,"Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","Lennon, with McCartney",Lennon,,11,
Birthday,1968,The Beatles,162,11,,,,"Hard Rock, Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,7,
Blackbird,1968,The Beatles,139,12,,,,"Folk, Pop/Rock",McCartney,McCartney,,52,
Blue Jay Way,1967,Magical Mystery Tour,235,13,,,,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,,3,
Boys,1963,UK: Please Please Me US: The Early Beatles,144,21,Boys,"Kansas City/Hey, Hey, Hey, Hey",,"Rock and Roll, Pop/Rock","Dixon, Farrell",Starkey (Best),Y,,
Bésame Mucho,1962,Anthology 1,,,,,,Bolero,"Velázquez, Skylar",McCartney,Y,,
Can't Buy Me Love,1964,UK: A Hard Day's Night US: Hey Jude,131,42,Can't Buy Me Love,You Can't Do That,RIAA Gold,Pop/Rock,McCartney,"McCartney, with Lennon",,22,10
Carol,1963,Live at the BBC,,,,,,"Rock and Roll, Pop/Rock",Berry,Lennon,Y,,
Carry That Weight,1969,Abbey Road,96,5,,,,"Symphonic Rock, Pop/Rock",McCartney,"McCartney, with Lennon, Harrison and Starkey",,8,
Catswalk,1962,,,,,,,Pop/Rock,McCartney,N/A,,,
Cayenne,1960,Anthology 1,144,,,,,"Instrumental Rock, Pop/Rock",McCartney,N/A,,,
Chains,1963,UK: Please Please Me US: The Early Beatles,143,18,,,,"Rock and Roll, Pop/Rock","Goffin, King","Harrison, with Lennon and McCartney",Y,,
Child of Nature,1968,Let It Be... Naked - Fly on the Wall bonus disc,254,,,,,"Soft Rock, Pop/Rock",Lennon,Lennon,,,
Christmas Time (Is Here Again),1967,The Beatles' Christmas Album,183,,Free as a Bird,Christmas Time (Is Here Again),BPI Silver; RIAA Gold,Pop/Rock,"Lennon, McCartney, Harrison and Starkey","Lennon, McCartney, Harrison and Starkey",,,
Circles,1968,,226,,,,,"Hindustani Blues, Pop/Rock",Harrison,Harrison,,,
Clarabella,1963,Live at the BBC,160,,,,,Pop/Rock,Pingatore,McCartney,Y,,
Come and Get It,1969,Anthology 3,142,,,,,"Power Pop, Pop/Rock",McCartney,McCartney,,,
Come Together,1969,Abbey Road,258,17,Something,Come Together,RIAA 2xPlatinum,"Blues Rock, Pop/Rock",Lennon,Lennon,,53,6
Cry Baby Cry,1968,The Beatles,183,10,,,,Pop/Rock,Lennon,"Lennon, with McCartney",,3,
Cry for a Shadow,1961,Anthology 1,140,,,,,"Instrumental Rock, Pop/Rock",Lennon and Harrison,N/A,,2,
"Crying, Waiting, Hoping",1963,Live at the BBC,130,,,,,"Rock and Roll, Pop/Rock",Buddy Holly,Harrison,Y,,
Day Tripper,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,170,20,We Can Work It Out,Day Tripper,RIAA Gold,"Rock, Pop/Rock","Lennon, with McCartney",Lennon and McCartney,,33,29
Dear Prudence,1968,The Beatles,236,9,,,,"Rock, Pop/Rock",Lennon,Lennon,,15,
Devil in Her Heart,1963,UK: With the Beatles US: The Beatles Second Album,147,11,,,,"Rock, Pop/Rock",Drapkin (aka Ricky Dee),Harrison,Y,,
Dig a Pony,1969,Let It Be,232,12,,,,"Blues Rock, Pop/Rock",Lennon,Lennon,,3,
Dig It,1969,Let It Be,51,10,,,,"Rock, Pop/Rock","Lennon, with McCartney, Harrison and Starkey",Lennon,,,
"Dizzy, Miss Lizzy",1965,UK: Help! US: Beatles VI,145,18,,,,"Rock and Roll, Pop/Rock",Williams,Lennon,Y,,
Do You Want to Know a Secret?,1963,UK: Please Please Me US: The Early Beatles,116,23,Do You Want to Know a Secret?,Thank You Girl,RIAA Gold,Pop/Rock,Lennon,Harrison,,7,26
Doctor Robert,1966,UK: Revolver US: Yesterday and Today,135,6,,,,"Psychedelic Rock, Power Pop, Pop/Rock","Lennon, with McCartney",Lennon,,1,
Don't Bother Me,1963,UK: With the Beatles US: Meet The Beatles!,149,11,,,,"Rock and Roll, Pop/Rock",Harrison,Harrison,,2,
Don't Ever Change,1963,Live at the BBC,123,,,,,Pop/Rock,"Goffin, King",Harrison,Y,,
Don't Let Me Down,1969,UK: 1967-1970 US: Hey Jude,215,17,Get Back,Don't Let Me Down,RIAA 2xPlatinum,"Blues Rock, Pop/Rock",Lennon,Lennon,,19,
Don't Pass Me By,1968,The Beatles,231,11,,,,"Country Rock, Pop/Rock",Starkey,Starkey,,2,
Drive My Car,1965,UK: Rubber Soul US: Yesterday and Today,148,17,,,,"Rock, R&B, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,12,
Eight Days a Week,1964,UK: Beatles for Sale US: Beatles VI,164,23,Eight Days a Week,I Don't Want to Spoil the Party,RIAA Gold,"Rock, Pop/Rock","McCartney, with Lennon","Lennon, with McCartney",,6,21
Eleanor Rigby,1966,Revolver,128,16,Yellow Submarine,Eleanor Rigby,RIAA Gold,"Baroque Pop, Art Rock, Pop/Rock",McCartney,McCartney,,56,38
Etcetera,1968,,,,,,,Pop/Rock,McCartney,McCartney,,,
Every Little Thing,1964,UK: Beatles for Sale US: Beatles VI,121,9,,,,"Rock, Pop/Rock",McCartney,"Lennon, with McCartney",,1,
Everybody's Got Something to Hide Except Me and My Monkey,1968,The Beatles,144,10,,,,"Hard Rock, Pop/Rock",Lennon,Lennon,,9,
Everybody's Trying to Be My Baby,1964,UK: Beatles for Sale US: Beatles '65,143,21,,,,"Rock and Roll, Rockabilly, Pop/Rock",Perkins,Harrison,Y,,
Fancy My Chances with You,196?,Let It Be... Naked - Fly on the Wall bonus disc,,,,,,Pop/Rock,?,?,,,
Fixing a Hole,1967,Sgt. Pepper's Lonely Hearts Club Band,146,5,,,,"Psychedelic pop, Baroque Pop, Pop/Rock",McCartney,McCartney,,5,
Flying,1967,Magical Mystery Tour,137,12,,,,"Psychedelic Rock, Instrumental Rock, Space Rock, Pop/Rock","Lennon, McCartney, Harrison and Starkey",N/A,,2,
For No One,1966,Revolver,121,9,,,,"Baroque Pop, Pop/Rock",McCartney,McCartney,,10,
For You Blue,1969,Let It Be,152,13,The Long and Winding Road,For You Blue,RIAA Platinum,"Country Blues, Pop/Rock, Blues",Harrison,Harrison,,1,
Free as a Bird,1977/1994,Anthology 1,266,,Free as a Bird,Christmas Time (Is Here Again),BPI Silver; RIAA Gold,"Rock, Pop/Rock","Lennon, with McCartney, Harrison and Starkey","Lennon, McCartney and Harrison",,6,39
From Me to You,1963,UK: A Collection of Beatles Oldies US: 1962-1966,116,34,From Me to You,Thank You Girl,,"Merseybeat, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,10,
From Us to You,1963,Live at the BBC,,2,,,,Pop/Rock,Lennon and McCartney,Lennon and McCartney,,,
Get Back,1969,Let It Be,194,28,Get Back,Don't Let Me Down,RIAA 2xPlatinum,"Blues Rock, Pop/Rock",McCartney,McCartney,,21,4
Getting Better,1967,Sgt. Pepper's Lonely Hearts Club Band,167,5,,,,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon",McCartney,,11,
Girl,1965,Rubber Soul,153,17,Michelle,Girl,,"Folk, Pop/Rock",Lennon,Lennon,,11,
Glad All Over,1963,Live at the BBC,112,,,,,Pop/Rock,"Bennett, Tepper, Schroeder",Harrison,Y,,
Glass Onion,1968,The Beatles,137,8,,,,"Psychedelic Rock, Pop/Rock",Lennon,Lennon,,2,
Golden Slumbers,1969,Abbey Road,91,5,,,,"Rock, Baroque Pop, Pop/Rock",McCartney,McCartney,,16,
Good Day Sunshine,1966,Revolver,129,7,,,,"Sunshine Pop, Music Hall, Pop/Rock",McCartney,McCartney,,4,
"Good Morning, Good Morning",1967,Sgt. Pepper's Lonely Hearts Club Band,161,6,,,,"Rock, Hard Rock, Pop/Rock",Lennon,Lennon,,8,
Good Night,1968,The Beatles,191,8,,,,"Orchestral Pop, Lullaby, Pop/Rock",Lennon,Starkey,,7,
Goodbye,1969,,,,,,,"Children's, Pop/Rock",McCartney,McCartney,,,
Got to Get You into My Life,1966,Revolver,147,8,Got to Get You into My Life,Helter Skelter,RIAA Gold,"R&B, Rock, Jazz Fusion, Pop/Rock",McCartney,McCartney,,10,23
"Hallelujah, I Love Her So",1960,Anthology 1,155,,,,,"Blues, Jazz, R&B, Pop/Rock",Charles,McCartney,Y,,
Happiness Is a Warm Gun,1968,The Beatles,163,7,,,,Pop/Rock,Lennon,Lennon,,11,
Heather,1968,,130,,,,,"Rock, Pop/Rock",McCartney,McCartney,,,
Hello Little Girl,1962,Anthology 1,,,,,,"Merseybeat, Pop/Rock",Lennon,Lennon,,,
"Hello, Goodbye",1967,Magical Mystery Tour,207,14,"Hello, Goodbye",I Am the Walrus,RIAA Gold,Pop/Rock,McCartney,McCartney,,6,7
Help!,1965,Help!,138,34,Help!,I'm Down,RIAA Gold,"Folk Rock, Pop/Rock","Lennon, with McCartney",Lennon,,43,14
Helter Skelter,1968,The Beatles,270,13,Got to Get You into My Life,Helter Skelter,RIAA Gold,"Hard Rock, Heavy Metal[, Proto-Punk, Pop/Rock",McCartney,McCartney,,24,
Her Majesty,1969,Abbey Road,23,8,,,,"Music Hall, Folk, Pop/Rock",McCartney,McCartney,,1,
Here Comes the Sun,1969,Abbey Road,186,6,,,,"Folk Pop, Pop/Rock",Harrison,Harrison,,27,
"Here, There and Everywhere",1966,Revolver,145,11,,,,"Soft Rock, Pop/Rock",McCartney,McCartney,,29,
Hey Bulldog,1968,Yellow Submarine,194,12,All Together Now,Hey Bulldog,,"Psychedelic Rock, Hard Rock, Pop/Rock",Lennon,Lennon,,11,
Hey Jude,1968,UK: 1967-1970 US: Hey Jude,431,28,Hey Jude,Revolution,RIAA 4xPlatinum,"Rock, Pop/Rock",McCartney,McCartney,,38,1
Hippy Hippy Shake,1963,Live at the BBC,106,,,,,"Rock & Roll, Pop/Rock",Romero,McCartney,Y,,
Hold Me Tight,1963,UK: With the Beatles US: Meet The Beatles!,152,16,,,,"Rock & Roll, Pop/Rock","McCartney, with Lennon",McCartney,,4,
Honey Don't,1964,UK: Beatles for Sale US: Beatles '65,173,14,,,,"Rockabilly, Pop/Rock",Perkins,Starkey,Y,,
Honey Pie,1968,The Beatles,161,8,,,,"Music Hall, Jazz, Ragtime, Pop/Rock",McCartney,McCartney,,5,
How Do You Do It?,1962,Anthology 1,119,,,,,"Merseybeat, Pop/Rock",Murray,Lennon,Y,,
I Am the Walrus,1967,Magical Mystery Tour,273,20,"Hello, Goodbye",I Am the Walrus,RIAA Gold,"Psychedelic Rock, Acid Rock, Experimental Rock, Pop/Rock",Lennon,Lennon,,18,
I Call Your Name,1964,UK: Past Masters Volume 1 US: The Beatles Second Album,129,16,,,,"Rock, Pop/Rock",Lennon,Lennon,,3,
I Don't Want to Spoil the Party,1964,UK: Beatles for Sale US: Beatles VI,153,11,Eight Days a Week; I'll Follow the Sun,I Don't Want to Spoil the Party; I Don't Want to Spoil the Party,RIAA Gold,"Country Rock, Pop/Rock",Lennon,Lennon,,3,49
I Feel Fine,1964,UK: A Collection of Beatles Oldies US: Beatles '65,145,35,I Feel Fine,She's a Woman,RIAA Gold,"Rock, Pop/Rock",Lennon,Lennon,,10,11
I Forgot to Remember to Forget,1964,Live at the BBC,148,,,,,"Country, Pop/Rock",Stan Kesler and Charlie Feathers,Harrison,Y,,
I Got a Woman,1963,Live at the BBC,151,,,,,"Jump Blues, R&B, Pop/Rock",Charles,Lennon,Y,,
I Got to Find My Baby,1963,Live at the BBC,116,,,,,"Rock, Pop/Rock",Berry,Lennon,Y,,
I Just Don't Understand,1963,Live at the BBC,167,,,,,"Rock, Pop/Rock","Wilkin, Westberry",Lennon,Y,,
I Lost My Little Girl,1962,,105,,,,,"Rock, R&B, Pop/Rock",McCartney,Lennon,,,
I Me Mine,1970,Let It Be,145,10,,,,"Folk blues, Hard Rock, Pop/Rock",Harrison,Harrison,,1,
I Need You,1965,Help!,148,11,,,,Pop/Rock,Harrison,Harrison,,1,
I Saw Her Standing There,1963,UK: Please Please Me US: Meet The Beatles!,175,42,I Want to Hold Your Hand,I Saw Her Standing There,RIAA Gold,"Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,29,36
I Should Have Known Better,1964,UK: A Hard Day's Night US: Hey Jude,164,18,A Hard Day's Night,I Should Have Known Better,RIAA Gold,Pop/Rock,Lennon,Lennon,,5,
I Wanna Be Your Man,1963,UK: With the Beatles US: Meet The Beatles!,103,25,,,,"Rock and Roll, R&B, Pop/Rock","McCartney, with Lennon",Starkey,,3,
I Want to Hold Your Hand,1963,UK: A Collection of Beatles Oldies US: Meet The Beatles!,144,34,I Want to Hold Your Hand,This Boy,,"Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,29,2
I Want to Tell You,1966,Revolver,149,5,,,,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,,5,
I Want You (She's So Heavy),1969,Abbey Road,467,5,,,,"Blues Rock, Hard Rock, Progressive Rock, Pop/Rock",Lennon,Lennon,,16,
I Will,1968,The Beatles,106,8,,,,"Folk, Pop/Rock",McCartney,McCartney,,12,
I'll Be Back,1964,UK: A Hard Day's Night US: Beatles '65,140,14,,,,"Rock, Pop/Rock",Lennon,"Lennon, with McCartney",,9,
I'll Be on My Way,1963,Live at the BBC,118,,,,,Pop/Rock,McCartney,Lennon,,,
I'll Cry Instead,1964,UK: A Hard Day's Night US: Something New,129,14,I'll Cry Instead,I'm Happy Just to Dance with You,,"Rock and Roll, Country, Pop/Rock",Lennon,Lennon,,3,43
I'll Follow the Sun,1964,UK: Beatles for Sale US: Beatles '65,106,17,I'll Follow the Sun,I Don't Want to Spoil the Party,,"Folk Rock, Country, Pop/Rock",McCartney,"McCartney, with Lennon",,6,
